MATCH    @ [          8][         11]: spike=1, residue=13
MATCH    @ [          8][         12]: spike=1, residue=8
MATCH    @ [          8][         13]: spike=1, residue=5
MATCH    @ [          8][         14]: spike=1, residue=7
MATCH    @ [          8][         15]: spike=1, residue=9
MATCH    @ [          8][         16]: spike=1, residue=11
MATCH    @ [          8][         17]: spike=0, residue=29
MATCH    @ [          8][         18]: spike=0, residue=26
MATCH    @ [          8][         19]: spike=0, residue=26
MATCH    @ [          8][         20]: spike=0, residue=24
MATCH    @ [          9][          0]: spike=1, residue=5
MATCH    @ [          9][          1]: spike=0, residue=25
MATCH    @ [          9][          2]: spike=0, residue=21
MATCH    @ [          9][          3]: spike=0, residue=17
MATCH    @ [          9][          4]: spike=0, residue=26
MATCH    @ [          9][          5]: spike=1, residue=9
MATCH    @ [          9][          6]: spike=1, residue=5
MATCH    @ [          9][          7]: spike=1, residue=6
MATCH    @ [          9][          8]: spike=1, residue=7
MATCH    @ [          9][          9]: spike=1, residue=12
MATCH    @ [          9][         10]: spike=1, residue=6
MATCH    @ [          9][         11]: spike=1, residue=2
MATCH    @ [          9][         12]: spike=1, residue=9
MATCH    @ [          9][         13]: spike=0, residue=32
MATCH    @ [          9][         14]: spike=1, residue=3
MATCH    @ [          9][         15]: spike=1, residue=1
MATCH    @ [          9][         16]: spike=0, residue=21
MATCH    @ [          9][         17]: spike=0, residue=16
MATCH    @ [          9][         18]: spike=0, residue=18
MATCH    @ [          9][         19]: spike=0, residue=25
MATCH    @ [          9][         20]: spike=0, residue=27
MATCH    @ [         10][          0]: spike=0, residue=24
MATCH    @ [         10][          1]: spike=0, residue=23
MATCH    @ [         10][          2]: spike=0, residue=27
MATCH    @ [         10][          3]: spike=1, residue=6
MATCH    @ [         10][          4]: spike=0, residue=27
MATCH    @ [         10][          5]: spike=0, residue=24
MATCH    @ [         10][          6]: spike=0, residue=25
MATCH    @ [         10][          7]: spike=0, residue=31
MATCH    @ [         10][          8]: spike=0, residue=27
MATCH    @ [         10][          9]: spike=0, residue=31
MATCH    @ [         10][         10]: spike=1, residue=1
MATCH    @ [         10][         11]: spike=0, residue=28
MATCH    @ [         10][         12]: spike=1, residue=5
MATCH    @ [         10][         13]: spike=1, residue=1
MATCH    @ [         10][         14]: spike=0, residue=25
MATCH    @ [         10][         15]: spike=0, residue=27
MATCH    @ [         10][         16]: spike=0, residue=21
MATCH    @ [         10][         17]: spike=0, residue=23
MATCH    @ [         10][         18]: spike=1, residue=1
MATCH    @ [         10][         19]: spike=1, residue=2
MATCH    @ [         10][         20]: spike=0, residue=27
MATCH    @ [         11][          0]: spike=0, residue=31
MATCH    @ [         11][          1]: spike=1, residue=9
MATCH    @ [         11][          2]: spike=1, residue=3
MATCH    @ [         11][          3]: spike=0, residue=26
MATCH    @ [         11][          4]: spike=0, residue=23
MATCH    @ [         11][          5]: spike=0, residue=17
MATCH    @ [         11][          6]: spike=0, residue=16
MATCH    @ [         11][          7]: spike=0, residue=18
MATCH    @ [         11][          8]: spike=0, residue=28
MATCH    @ [         11][          9]: spike=0, residue=30
MATCH    @ [         11][         10]: spike=0, residue=29
MATCH    @ [         11][         11]: spike=1, residue=7
MATCH    @ [         11][         12]: spike=0, residue=25
MATCH    @ [         11][         13]: spike=0, residue=25
MATCH    @ [         11][         14]: spike=0, residue=20
MATCH    @ [         11][         15]: spike=0, residue=22
MATCH    @ [         11][         16]: spike=0, residue=32
MATCH    @ [         11][         17]: spike=1, residue=5
MATCH    @ [         11][         18]: spike=0, residue=25
MATCH    @ [         11][         19]: spike=0, residue=28
MATCH    @ [         11][         20]: spike=1, residue=2
MATCH    @ [         12][          0]: spike=1, residue=5
MATCH    @ [         12][          1]: spike=1, residue=10
MATCH    @ [         12][          2]: spike=1, residue=4
MATCH    @ [         12][          3]: spike=0, residue=22
MATCH    @ [         12][          4]: spike=0, residue=25
MATCH    @ [         12][          5]: spike=0, residue=26
MATCH    @ [         12][          6]: spike=0, residue=26
MATCH    @ [         12][          7]: spike=0, residue=28
MATCH    @ [         12][          8]: spike=0, residue=32
MATCH    @ [         12][          9]: spike=0, residue=26
MATCH    @ [         12][         10]: spike=1, residue=1
MATCH    @ [         12][         11]: spike=1, residue=5
MATCH    @ [         12][         12]: spike=0, residue=23
MATCH    @ [         12][         13]: spike=0, residue=20
MATCH    @ [         12][         14]: spike=0, residue=27
MATCH    @ [         12][         15]: spike=0, residue=27
MATCH    @ [         12][         16]: spike=0, residue=20
MATCH    @ [         12][         17]: spike=0, residue=25
MATCH    @ [         12][         18]: spike=0, residue=25
MATCH    @ [         12][         19]: spike=0, residue=30
MATCH    @ [         12][         20]: spike=0, residue=28
MATCH    @ [         13][          0]: spike=0, residue=27
MATCH    @ [         13][          1]: spike=0, residue=31
MATCH    @ [         13][          2]: spike=0, residue=29
MATCH    @ [         13][          3]: spike=0, residue=27
MATCH    @ [         13][          4]: spike=1, residue=3
MATCH    @ [         13][          5]: spike=1, residue=6
MATCH    @ [         13][          6]: spike=0, residue=26
MATCH    @ [         13][          7]: spike=0, residue=19
MATCH    @ [         13][          8]: spike=0, residue=25
MATCH    @ [         13][          9]: spike=1, residue=3
MATCH    @ [         13][         10]: spike=0, residue=27
MATCH    @ [         13][         11]: spike=0, residue=27
MATCH    @ [         13][         12]: spike=0, residue=28
MATCH    @ [         13][         13]: spike=1, residue=1
MATCH    @ [         13][         14]: spike=0, residue=29
MATCH    @ [         13][         15]: spike=0, residue=21
MATCH    @ [         13][         16]: spike=0, residue=17
MATCH    @ [         13][         17]: spike=0, residue=24
MATCH    @ [         13][         18]: spike=0, residue=21
MATCH    @ [         13][         19]: spike=0, residue=31
